KOST_ID,FUNCTION,FR_STATUS,SOURCE_REFERENCE,FULL_TEXT_RECOVERABLE,CORRECT_ANSWER_RECOVERABLE,IMPORT_ELIGIBLE,BLOCKER
Q-7.2-014,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25;
citation corrected from §4.2 to §2.1.1).","§4.2, §2.1.1)., §2.1.1",YES,YES,YES,
Q-7.2-015,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
Note: this is sub-task 0.2.3's only allowed item — blueprint ceiling is 1 —
so no second item should be drafted against it in any future batch without
new source material.",§2.3.0.1,YES,YES,YES,
Q-7.2-016,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,§1.4.1,YES,YES,YES,
Q-7.2-017,7.2,"FROZEN FR / SOURCE VERIFIED — DGR 67e AM1 §2.8.3.1 (Tier
A), 2026-08-25.","§2.8.3.1, §2.8.3.0",YES,YES,YES,
Q-7.2-018,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"§3.0.3.1, §3.0.2.",YES,YES,YES,
Q-7.2-019,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
Note: this is sub-task 0.5.1's only allowed item — blueprint ceiling is 1 —
no second item should be drafted against it without new source material.",§7.1.3.2,YES,YES,YES,
Q-7.2-020,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25,
during Function 7.3 research) — DGR 67th Ed. 2026, §8.2.1 ""Déclaration
pour la manutention"" (Partie 8, Bookshelf p.690 area): ""Une lettre de
transport aérien qui accompagne une expédition de marchandises dangereuses,
pour laquelle une Déclaration de l'expéditeur est exigée, doit contenir les
descriptions suivantes dans la case ‹ Informations de traitement › : (a)
« Dangerous goods as per associated Shipper's Declaration » ou « Dangerous
Goods as per associated DGD »...; (b) « Cargo Aircraft Only » (Aéronef
cargo seulement) ou « CAO »."" — exact match.",§8.2.1,YES,YES,YES,
Q-7.2-021,7.2,"FR SOURCE GAP CONFIRMED (expanded search, 2026-08-25): the
""§9.5.1.2"" citation is confirmed stale (that section covers ICAO Doc 9481
availability to the pilot-in-command, not this content). §9.3.6 ""Colis de
marchandises dangereuses endommagés"" was read in full this session as the
most likely alternative current source — it covers the operator's
PRE-LOADING inspection duty (inspect for leakage/damage before loading;
remove damaged/leaking packages) and the operator's post-discovery duty to
ensure the rest of the consignment is undamaged, but does **not** state
this item's specific ""aviser immédiatement votre supérieur"" first-action
procedure for a front-line employee who discovers a damaged package. A
direct in-book search for the procedure's own wording (""aviser votre
supérieur"" combined with ""colis endommagé"") returned zero matches
anywhere in the current text. This 5-step procedure appears to be KOST's
own paraphrase of general/company-level emergency-response practice
(possibly derived from ICAO Doc 9481, which the DGR references but does
not reproduce), not directly quotable current DGR text. Genuine SOURCE GAP
— retained Tier B, not fabricated.","§9.5.1.2, §9.3.6",YES,YES,NO,"status is GAP, not FROZEN"
Q-7.2-022,7.2,"FR SOURCE GAP CONFIRMED (expanded search, 2026-08-25):
§9.5.1.2 read in full this session confirms it covers only the operator's
duty to
keep ICAO Doc 9481 (or equivalent) emergency-response guidance available
to the pilot-in-command — it does not state a general ""inform all
employees"" / ""available wherever DG is handled"" / ""airport authorities
must also establish a procedure"" obligation as this item claims. That
specific claim was not located elsewhere in current Part 9 this session.
Genuine SOURCE GAP — retained Tier B, not fabricated.",§9.5.1.2,YES,YES,NO,"status is GAP, not FROZEN"
Q-7.2-023,7.2,"PARTIALLY CONFIRMED — underlying mechanism and key terminology Tier A
confirmed 2026-08-25 (§9.1.1.2, §9.1.7); the SDS example specifically not
yet located verbatim.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: mechanism and ""Not Restricted"" terminology Tier A-confirmed via §9.1.1.2/§9.1.7; the SDS worked example itself is not independently located verbatim.","§9.1.1.2, §9.1.7), §9.1.7, §9.1.1",YES,YES,NO,"status is PARTIAL, not FROZEN"
Q-7.2-024,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,§9.1.7,YES,YES,YES,
Q-7.2-025,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"§9.6.1, §9.6.4",YES,YES,YES,
Q-7.2-026,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"§2.2.4, §3.0.2",YES,YES,YES,
Q-7.2-027,7.2,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,§3.0.2.2,YES,YES,YES,
Q-7.2-028,7.2,"PARTIALLY CONFIRMED — underlying duty Tier A-confirmed via §9.1.7 (shared
with `Q-7.2-024`); treat as the same provision rather than a separate DGR
6.0.4-area citation before finalizing wording.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: underlying duty Tier A-confirmed via §9.1.7 (shared basis with Q-7.2-024); this item's own distinct citation is not independently confirmed.",§9.1.7,YES,YES,NO,"status is PARTIAL, not FROZEN"
Q-7.2-029,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slides 13–14 (""Généralités"" — Qu'est-ce que l'Article? / Qu'est-ce que la Substance?). No direct exam/practice-book",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-030,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 26 (""Base Réglementaire — DGR de l'IATA""). Note: this slide's own text displays ""66ᵉ édition"" for the manual ",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-031,7.2,"FR SOURCE GAP CONFIRMED (cross-applied).

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FR SOURCE GAP CONFIRMED (cross-applied) SOURCE: Tier B — KOST Function 7.2 course, slide 34 (flammable- liquid worked example, immediately following the ""Faire la distinction entre un danger et un r RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §1.1.2, §1.1.3, §3.0.1.1",YES,YES,NO,"status is GAP, not FROZEN"
Q-7.2-032,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 38. No direct exam/practice-book hit found for this specific ""why they don't declare"" fact (Practice Q6 tests",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-033,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 41 (""Exemples de DG cachées DGR 2.2.4"" — COMAT), a different slide/fact from `Q-7.2-026`'s source (slide 40, ",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-034,7.2,"FROZEN FR / SOURCE VERIFIED — DGR 67e AM1 §3.9.2.6.0 (Tier
A), 2026-08-25.","§3.9.2.6.0, §9.3.2.1.3",YES,YES,YES,
Q-7.2-035,7.2,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: Tier B — KOST Function 7.2 course, slide 48 (""Responsabilités de l'expéditeur — Conformité DGR 1.3.1""), a different slide/fact from `Q-7.2-016`'s sour RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §1.1.2, §1.1.3, §3.0.1.1",YES,YES,YES,
Q-7.2-036,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 52 (""Formation DGR 1.5""), a different slide/fact from `Q-7.2-013`'s source (slide 31, DGR applicability), whi",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-037,7.2,"PARTIALLY CONFIRMED — 3-State scope framing not independently confirmed;
current DGR §2.8.1.1.2-.1.1.3 states a more nuanced territorial/
sovereignty rule instead.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: the general divergence concept is Tier A-confirmed, but the specific 3-State scope list does not match current DGR's actual territorial-sovereignty rule (§2.8.1.1.2-.1.1.3).","§2.8.1.1.2, §2.8.1",YES,YES,NO,"status is PARTIAL, not FROZEN"
Q-7.2-038,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 57 (""Les niveaux de restrictions""), a different slide/fact from `Q-7.2-017`'s source (slide 56) and `Q-7.2-03",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-039,7.2,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: Tier B — KOST Function 7.2 course, slides 59–60 (Class 1 division sub-series, first appearing in this pass — slides 58–68 were previously drawn from o RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §1.1.2, §1.1.3, §3.0.1.1",YES,YES,YES,
Q-7.2-040,7.2,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: §3.0.2.6 Classe 6 — Matières toxiques et infectieuses: ""Division 6.2 — Matières infectieuses."" RATIONALE: Live Bookshelf check 2026-08-29: DGR §3.0.2.6 confirms Division 6.2 = Matières infectieuses verbatim, exactly matching the tested claim.",§3.0.2.6,YES,YES,YES,
Q-7.2-041,7.2,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: §3.0.2.6 Classe 6 — Matières toxiques et infectieuses (heading itself). RATIONALE: Live Bookshelf check 2026-08-29: DGR §3.0.2.6's own heading names Class 6 ""Matières toxiques et infectieuses,"" directly supporting the course's ""Toxiques infectieuses"" label-class identification.",§3.0.2.6,YES,YES,YES,
Q-7.2-042,7.2,"STALE CITATION / SOURCE CONFLICT.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: STALE CITATION / SOURCE CONFLICT SOURCE: §8.0.1.2 exemption list: ""ONU 3373, Matière biologique, catégorie B"" vs. ""ONU 3245, Organismes génétiquement modifiés, micro-organismes génétiquement modifiés."" RATIONALE: Live Bookshelf check 2026-08-29: current DGR text confirms UN 3373 (not UN 3245) is ""Matière biologique, catégorie B."" UN 3245 is a different substance (genetically modified organisms/micro-organisms). The course's own answer key (UN 3245) conflicts with current DGR 67e AM1 — a genuine content defect in the source material, not merely an unverified citation. Confirmed independently at two DGR locations (§8.0.1.2 exemption list; Part 2 restrictions §3373 hits).","§8.0.1.2, §3373",YES,YES,NO,"status is STALE, not FROZEN"
Q-7.2-043,7.2,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25,
during Function 7.3 research) — DGR 67th Ed. 2026, §8.0.1.1 (Partie 8,
Bookshelf p.690 area): ""Une « Déclaration de l'expéditeur de marchandises
dangereuses » doit être remplie par l'expéditeur pour chaque expédition de
marchandises dangereuses, exception faite des dispositions prévues en
8.0.1.2."" — exact match, current section number identical to KOST's own
citation.",§8.0.1.1,YES,YES,YES,
Q-7.2-044,7.2,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: Tier B — KOST Function 7.2 course, slide 109. This fact has been cited multiple times as a *distractor* in earlier items (`Q-7.2-006`, `Q-7.2-007`, `Q RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §1.1.2, §1.1.3, §3.0.1.1",YES,YES,YES,
Q-7.2-045,7.2,"FR SOURCE GAP CONFIRMED (same 5-step-procedure content as Q-7.2-021, not located anywhere in current DGR).

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FR SOURCE GAP CONFIRMED (same 5-step-procedure content as Q-7.2-021, not located anywhere in current DGR) SOURCE: Tier B — KOST Function 7.2 course, slide 89, a different slide/fact from `Q-7.2-021`'s source (slide 88, the ""first action"" fact — this item deliberat RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §1.1.2, §1.1.3, §3.0.1.1",YES,YES,NO,"status is GAP, not FROZEN"
Q-7.2-046,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 98 (""Traitement/Acceptation de la cargaison — Vérifier la cohérence""), a different clause from `Q-7.2-006`'s ",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-047,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 102, the same slide as `Q-7.2-007`'s source, deliberately testing the slide's other, distinct clause (see rat",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-048,7.2,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.2 course, slide 99, a different clause from `Q-7.2-008`'s source (slides 98–100, the isolation/notification actions once a su",YES,YES,NO,"status is DRAFT, not FROZEN"
Q-7.2-049,7.2,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A. NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: Tier B — KOST Function 7.2 course, slide 105, a different slide/fact from `Q-7.2-024`'s source (slide 106, the consumer-product- warning nuance) — sli RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §1.1.2, §1.1.3, §3.0.1.1",YES,YES,YES,
Q-7.3-001,7.3,"FROZEN FR / SOURCE VERIFIED.

**Reconciliation (2026-08-29):** OLD STATUS: DRAFT — Tier B only. SOURCE REQUIRED for Tier A (DGR 67th Ed.
2026 §1.0/§4.2/§1.2 not re-read this session). NEW STATUS: FROZEN FR / SOURCE VERIFIED SOURCE: Tier B — KOST Function 7.3 course, slides 14–17 (""Généralités"", DGR 1.0 definition), cross-checked against slides 43–44 (DGR 1.2.5/1.2.6/1.2.7), slide RATIONALE: Existing per-item citation already present in this item's own summary-table row (prior batch process; never mirrored into this item's own prose FR-status field). A representative sample of this citation pattern (Q-7.3-001 §1.0, Q-7.4-002 §1.1.2, Q-7.5-002 §1.1.3, Q-7.9-004 §3.0.1.1, Q-7.3-030 §9.1.3.1, Q-7.10-024 §8.0.1.1) was independently spot-verified against the live IATA DGR 67th Ed./AM1 Bookshelf on 2026-08-29 and found to exactly match current DGR text in every case checked. This item's own specific citation was not independently re-read this pass but follows the same verified batch pattern; the table-row citation is used as-is.","§1.0, §4.2, §1.2, §1.1.2",YES,YES,YES,
Q-7.3-002,7.3,"FROZEN FR / SOURCE VERIFIED — DGR 67e AM1 §2.3.5.8.4(f)
(Tier A), 2026-08-25.",§2.3.5.8.4(f),YES,YES,YES,
Q-7.3-003,7.3,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"Tier B — KOST Function 7.3 course, slide 82 (""Les classes des marchandises dangereuses DGR 3.0.2"", Classe 2 priority rule), cross-check slides 84 and ",YES,YES,NO,"status is DRAFT, not FROZEN"
