KOST_Question_ID,Function,CBTA_Subtask,Current_Individual_FR_Status_Bucket,Current_Individual_FR_Status_Full_Text,Historical_Topic_Analysis_Conclusion,Bookshelf_Evidence_Found,DGR_Reference,Evidence_Location_File,Tested_Claim_Supported,Full_Text_Recoverable,Correct_Answer_Recoverable,Final_Reconciled_Status,Reason,Next_Action
Q-7.1-011,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§7.2.7.1,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-012,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§1.3.4.1, §1.3.4.2",docs/DGR_STAGE_2B_STATUS.md,YES,NO,NO,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,FROZEN but full administered wording not safely recoverable — cannot import until recovered or re-authored from a safe source.
Q-7.1-013,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.0,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-014,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.1.1,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-015,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.2.1,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-016,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§2.2.4,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-017,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§2.3.0.1,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-018,7.1,,FROZEN,FROZEN FR / SOURCE VERIFIED,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§3.0.2,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.1-019,7.1,,FROZEN,"FROZEN FR / SOURCE VERIFIED — wording corrected, stale KOST citation superseded","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§7.1.3.2,docs/DGR_STAGE_2B_STATUS.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED — wording corrected, stale KOST citation superseded",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-001,7.2,"0.1.2 Reconnaître le cadre juridique (mondial, national)",FROZEN,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
DGR 67th Ed. 2026, §1.1.1 (Partie 1, Bookshelf p.11): ""Le Sous-comité
d'experts en matière de transport des marchandises dangereuses du Conseil
économique et social des Nations Unies (UNSCETDG) élabore des procédures
recommandées pour le transport de toutes les marchandises dangereuses, à
l'exception des matières radioactives. Ces procédures applicables à tous
les modes de transport sont publiées..."" — confirms the correct answer;
§1.1.2/1.1.3/1.1.4 confirm the three distractors are wrongly scoped, exactly
as drafted. Current acronym is ""UNSCETDG""; align final wording (same body
as the KOST slide's ""SCoETDG""). Note: this underlying fact is shared
verbatim with Function 7.1's Block 0 (confirmed identical wording by Stage 1
cross-validation) — independently drafted here for Function 7.2's own bank,
not copied from `docs/DGR_PRODUCTION_BANK_7.1.md`.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§1.1.1, §1.1.2",docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
DGR 67th Ed. 2026, §1.1.1 (Partie 1, Bookshelf p.11): ""Le Sous-comité
d'experts en matière de transport des marchandises dangereuses du Conseil
économique et social des Nations Unies (UNSCETDG) élabore des procédures
recommandées pour le transport de toutes les marchandises dangereuses, à
l'exception des matières radioactives. Ces procédures applicables à tous
les modes de transport sont publiées..."" — confirms the correct answer;
§1.1.2/1.1.3/1.1.4 confirm the three distractors are wrongly scoped, exactly
as drafted. Current acronym is ""UNSCETDG""; align final wording (same body
as the KOST slide's ""SCoETDG""). Note: this underlying fact is shared
verbatim with Function 7.1's Block 0 (confirmed identical wording by Stage 1
cross-validation) — independently drafted here for Function 7.2's own bank,
not copied from `docs/DGR_PRODUCTION_BANK_7.1.md`.",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-002,7.2,0.1.4 Faire la distinction entre un danger et un risque,GAP,"FR SOURCE GAP CONFIRMED (Tier A re-checked 2026-08-25) —
identical finding to Function 7.1's `Q-7.1-001` (see
`docs/DGR_SOURCE_REGISTER.md`): the current DGR 67th Ed. Appendice A
Glossaire (p.703) and §1.0 Note (p.11) confirm the glossary excludes
ordinary/dictionary-sense terms by explicit policy, and no ""Danger""/""Risque""
headword exists anywhere in the current text. This is a DGR-wide fact, not
function-specific, so Q-7.1-001's Tier A research applies directly here —
not re-searched from scratch, cross-applied. Retain this item on its Tier B
(KOST course) basis; do not attribute the distinction to the DGR glossary in
final wording.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.0,docs/DGR_PRODUCTION_BANK_7.2.md,N/A (DGR confirmed silent / content not DGR-sourced),YES,YES,"FR SOURCE GAP CONFIRMED (Tier A re-checked 2026-08-25) —
identical finding to Function 7.1's `Q-7.1-001` (see
`docs/DGR_SOURCE_REGISTER.md`): the current DGR 67th Ed. Appendice A
Glossaire (p.703) and §1.0 Note (p.11) confirm the glossary excludes
ordinary/dictionary-sense terms by explicit policy, and no ""Danger""/""Risque""
headword exists anywhere in the current text. This is a DGR-wide fact, not
function-specific, so Q-7.1-001's Tier A research applies directly here —
not re-searched from scratch, cross-applied. Retain this item on its Tier B
(KOST course) basis; do not attribute the distinction to the DGR glossary in
final wording.","Tier A search performed and confirmed the tested content does not exist in current DGR text (or is KOST-authored operational content, not DGR text).","Do not import as Tier A DGR content. Retain only if pedagogically justified as Tier B/C, clearly labeled as such."
Q-7.2-003,7.2,0.2.2 Reconnaître les marchandises dangereuses potentiellement cachées,PARTIAL,"PARTIALLY CONFIRMED — Tier A search performed 2026-08-25, no direct match
found. Current DGR §2.2 (Marchandises dangereuses cachées, p.12 area)
describes the detection *duty* (agents must be trained to identify DG under
generic descriptions, must query shippers/passengers when suspicious) but
does not itemize physical inspection cues such as ""variable centre of
gravity"" anywhere in the read text; a targeted search for ""centre de
gravité variable"" returned no book match (the only ""centre de gravité"" hits
found are unrelated drop-test procedure language in Part 6). This specific
physical-cue content reads as KOST practical-training synthesis layered on
top of the DGR's general detection duty, not a verbatim DGR provision —
retained Tier B, not asserted as DGR-sourced. Not re-classified as a formal
SOURCE GAP (the general duty it illustrates is real and Tier A-cited above)
but the item's specific correct-answer wording should not be attributed to
a DGR section number.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: general detection duty independently Tier A-confirmed via §2.2; the specific physical cue is Tier B-only, not located in current DGR text.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§2.2,docs/DGR_PRODUCTION_BANK_7.2.md,PARTIAL,YES,YES,"PARTIALLY CONFIRMED — Tier A search performed 2026-08-25, no direct match
found. Current DGR §2.2 (Marchandises dangereuses cachées, p.12 area)
describes the detection *duty* (agents must be trained to identify DG under
generic descriptions, must query shippers/passengers when suspicious) but
does not itemize physical inspection cues such as ""variable centre of
gravity"" anywhere in the read text; a targeted search for ""centre de
gravité variable"" returned no book match (the only ""centre de gravité"" hits
found are unrelated drop-test procedure language in Part 6). This specific
physical-cue content reads as KOST practical-training synthesis layered on
top of the DGR's general detection duty, not a verbatim DGR provision —
retained Tier B, not asserted as DGR-sourced. Not re-classified as a formal
SOURCE GAP (the general duty it illustrates is real and Tier A-cited above)
but the item's specific correct-answer wording should not be attributed to
a DGR section number.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: general detection duty independently Tier A-confirmed via §2.2; the specific physical cue is Tier B-only, not located in current DGR text.","Some part of the item's claim is Tier A-confirmed; another part (a distractor, a specific wording, or a sub-claim) is not independently located in current DGR text.","Needs a further, more targeted Bookshelf lookup to close the remaining gap before it can become FROZEN, or wording revision to test only the confirmed part."
Q-7.2-004,7.2,0.4.1 Trouver de l'information générale sur les classes et les divisions,FROZEN,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25 for
the correct answer and all three distractor labels; the two secondary
examples in the correct-answer text are unconfirmed-but-not-contradicted —
flag for a follow-up spot-check before EN/reviewer sign-off).","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§3.0.2,docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25 for
the correct answer and all three distractor labels; the two secondary
examples in the correct-answer text are unconfirmed-but-not-contradicted —
flag for a follow-up spot-check before EN/reviewer sign-off).",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-005,7.2,0.5.2 Reconnaître les prescriptions de base concernant l'étiquetage,FROZEN,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§7.2.2.2,docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-006,7.2,3.4.1 Vérifier la documentation pour voir s'il y a des indications concernant des marchandises dangereuses cachées et non déclarées,PARTIAL,"PARTIALLY CONFIRMED — Tier A confirms the underlying duty (§9.1.1.1-2) but
not this item's specific itemized wording as a verbatim DGR quote; do not
cite a DGR section number for the itemized list itself in final wording
without a further, more exhaustive search (e.g. of Part 8/9.1.3's own
document-conformity checklist, which addresses already-declared shipments,
a related but distinct scenario).

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: underlying duty Tier A-confirmed via §9.1.1.1-2; the item's own itemized wording is not independently verified as verbatim DGR text.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§9.1.1.1, §9.1.1.1(b), §9.1.1.2, §2.2",docs/DGR_PRODUCTION_BANK_7.2.md,PARTIAL,YES,YES,"PARTIALLY CONFIRMED — Tier A confirms the underlying duty (§9.1.1.1-2) but
not this item's specific itemized wording as a verbatim DGR quote; do not
cite a DGR section number for the itemized list itself in final wording
without a further, more exhaustive search (e.g. of Part 8/9.1.3's own
document-conformity checklist, which addresses already-declared shipments,
a related but distinct scenario).

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: PARTIALLY CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: underlying duty Tier A-confirmed via §9.1.1.1-2; the item's own itemized wording is not independently verified as verbatim DGR text.","Some part of the item's claim is Tier A-confirmed; another part (a distractor, a specific wording, or a sub-claim) is not independently located in current DGR text.","Needs a further, more targeted Bookshelf lookup to close the remaining gap before it can become FROZEN, or wording revision to test only the confirmed part."
Q-7.2-007,7.2,3.4.1 Vérifier la documentation pour voir s'il y a des indications concernant des marchandises dangereuses cachées et non déclarées,FROZEN,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25 —
mechanism via §9.1.1.2, term itself via §9.1.7's glossary-linked usage;
upgraded from the initial partial-confirmation recorded earlier this
session).","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§9.1.1.2, §9.1.7",docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25 —
mechanism via §9.1.1.2, term itself via §9.1.7's glossary-linked usage;
upgraded from the initial partial-confirmation recorded earlier this
session).",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-008,7.2,3.4.2 Vérifier les colis pour voir s'il y a des indications concernant des marchandises dangereuses cachées et non déclarées,GAP,"FR SOURCE GAP CONFIRMED — Tier A search performed 2026-08-25, no direct match
for this specific isolate/notify-supervisor procedure found in the current
DGR text read this pass (Part 9 §9.1.1/9.1.3 cover documentation-conformity
checks for already-declared shipments, not a step-by-step physical-suspect-
package escalation procedure). Reads as KOST operational SOP content, not a
verbatim DGR provision — retained Tier B, not asserted DGR-sourced.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: FR SOURCE GAP CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: a 2026-08-25 exhaustive Tier A search (Part 9 §9.1.1/§9.1.3) found no current-DGR anchor for any part of this item's claim — it reads as KOST operational SOP content, not a verbatim DGR provision.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§9.1.1, §9.1.3)",docs/DGR_PRODUCTION_BANK_7.2.md,N/A (DGR confirmed silent / content not DGR-sourced),YES,YES,"FR SOURCE GAP CONFIRMED — Tier A search performed 2026-08-25, no direct match
for this specific isolate/notify-supervisor procedure found in the current
DGR text read this pass (Part 9 §9.1.1/9.1.3 cover documentation-conformity
checks for already-declared shipments, not a step-by-step physical-suspect-
package escalation procedure). Reads as KOST operational SOP content, not a
verbatim DGR provision — retained Tier B, not asserted DGR-sourced.

**Reconciliation (2026-08-26):** OLD STATUS: DRAFT (topic-analysis conclusion had been reached but never stamped in this field before this reconciliation pass). NEW STATUS: FR SOURCE GAP CONFIRMED. SOURCE: this item's own previously-recorded Tier A finding (see text above), now materialized. RATIONALE: a 2026-08-25 exhaustive Tier A search (Part 9 §9.1.1/§9.1.3) found no current-DGR anchor for any part of this item's claim — it reads as KOST operational SOP content, not a verbatim DGR provision.","Tier A search performed and confirmed the tested content does not exist in current DGR text (or is KOST-authored operational content, not DGR text).","Do not import as Tier A DGR content. Retain only if pedagogically justified as Tier B/C, clearly labeled as such."
Q-7.2-009,7.2,7.3 Signaler les marchandises dangereuses non déclarées ou mal déclarées,FROZEN,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§9.6.2.1,docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-010,7.2,7.4 Signaler les situations mettant en cause des marchandises dangereuses,FROZEN,"FROZEN FR / SOURCE VERIFIED for the general reporting-duty
mechanism (§9.6.4/9.6.5, Tier A confirmed 2026-08-25); the ANAC-specific
identification remains correctly Tier B/administrative — not a DGR
provision, and cannot become one under any future DGR edition. Flag so a
future reviewer does not mistake the ANAC address for a DGR-numbered
requirement.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§9.6.4, §9.6.5, §9.6",docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED for the general reporting-duty
mechanism (§9.6.4/9.6.5, Tier A confirmed 2026-08-25); the ANAC-specific
identification remains correctly Tier B/administrative — not a DGR
provision, and cannot become one under any future DGR edition. Flag so a
future reviewer does not mistake the ANAC address for a DGR-numbered
requirement.",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-011,7.2,"7.1 + 7.2 (combined, dual-tagged pool per",FROZEN,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§9.6.1, §4.4",docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-012,7.2,0.1.1 Comprendre la définition,DRAFT,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",NO,"Tier B — KOST Function 7.2 course, slide 16, with slide 15 read alongside for the contrasting definition. Loosely corroborated by Exam Q1 (""Quelle est",docs/DGR_PRODUCTION_BANK_7.2.md,NOT ASSESSED,YES,YES,DRAFT — Tier B only. SOURCE REQUIRED for Tier A.,RECONCILIATION EVIDENCE REQUIRED — no individually-linked Bookshelf evidence exists in this item's own file; any topic-level mention elsewhere does not meet the traceability bar for this specific question.,Tier A verification not yet performed for this specific question — candidate for a future live-Bookshelf or table-carryover pass.
Q-7.2-013,7.2,0.1.3 Déterminer l'application et la portée,FROZEN,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.2.1,docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-014,7.2,0.2.1 Développer un flair pour les marchandises dangereuses interdites,FROZEN,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25;
citation corrected from §4.2 to §2.1.1).","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,"§4.2, §2.1.1)., §2.1.1",docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25;
citation corrected from §4.2 to §2.1.1).",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-015,7.2,0.2.3 Être au courant des dispositions s'appliquant aux passagers,FROZEN,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
Note: this is sub-task 0.2.3's only allowed item — blueprint ceiling is 1 —
so no second item should be drafted against it in any future batch without
new source material.","(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§2.3.0.1,docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,"FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).
Note: this is sub-task 0.2.3's only allowed item — blueprint ceiling is 1 —
so no second item should be drafted against it in any future batch without
new source material.",Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
Q-7.2-016,7.2,0.3.1 Clarifier le rôle individuel et collectif des parties prenantes,FROZEN,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,"(see DGR_TIER_A_INVENTORY.md topic narrative for cross-function context, where applicable)",YES,§1.4.1,docs/DGR_PRODUCTION_BANK_7.2.md,YES,YES,YES,FROZEN FR / SOURCE VERIFIED (Tier A confirmed 2026-08-25).,Individually verified against current DGR 67e AM1 text (live Bookshelf check or independently spot-verified batch citation); citation present in item's own FR-status field.,Import-eligible for V2 (pending reviewer sign-off)
